,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
110,100 High Street,Yes,Office,100 High Street,2110,"550,317",62.6,84,"2017, 2014, 2012, 2011, 2010","Data Center, Office, Parking",1988,"2,941.50",5.3,"34,426,722.60",100.00%,,,10.3,,,,304408000,"2014, 2016, 2017, "
111,100 Summer Street,Yes,Office,100 Summer Street,2110,"1,164,826",75.4,75,"2016, 2015, 2014, 2013, 2012, 2011","Fast Food Restaurant, Office, Other, Parking",1974,"6,779.60",5.9,"86,163,551.10",64.50%,,35.50%,10.4,,"This building is a large office building in downtown Boston.  It represents a single building only.  The square footages used in previous time periods are inconsistent.  The current occupancy and vacancy numbers are a reasonable representation of the those in the past, and have been confirmed to be accurate over  the performance period.",,304220000,"2014, 2015, 2016, 2017, "
112,CBRE - 101 Arch St,Yes,Office,101 Arch Street,2110,"473,896",68.1,87,"2017, 2016, 2015, 2013, 2012, 2011, 2010, 2009","Fast Food Restaurant, Food Service, Office, Parking, Restaurant",1988,"2,712.90",5.7,"32,284,501.70",95.60%,4.40%,,10.6,,,,304597000,"2014, 2015, 2016, 2017, "
113,101 Summer Street,Yes,Office,101 Summer Street,2110,"48,905",73.8,58,,Office,1899,289.1,5.9,"3,610,448.40",83.40%,16.60%,,21,,,,304577000,"2017, "
114,11 Beacon,Yes,Office,11 Beacon Street,2110,"146,388",79.9,89,,"Office, Other - Restaurant/Bar",1911,753.8,5.1,"11,693,921.20",35.10%,64.90%,,9.2,,,,302804000,"2014, 2015, 2016, 2017, "
115,Mercantile Wharf: Mercantile Wharf,Yes,Multifamily Housing,111 Atlantic Avenue,2110,"230,000",50.6,73,,Multifamily Housing,1974,732.3,3.2,"11,633,909.40",30.40%,69.60%,,36.4,,,,303636000,"2015, 2016, 2017, "
116,Engine 10,Yes,Fire Station,125 Purchase St,2110,"30,052",132.6,Not Available,,Fire Station,2000,259.1,8.6,"3,984,972.40",36.80%,63.20%,,20.5,,,,"304102000, 304102000","2016, 2017, "
117,125 Summer Street,Yes,Office,125 Summer Street,2110,"521,903",60.9,80,"2016, 2015, 2014, 2013, 2012, 2011","Office, Parking",1989,"2,714.20",5.2,"31,766,095.40",100.00%,,,9.9,,"This property represents a single building only.  The building is currently seeking LEED EB Certification:Project Name = 125 Summer StreetProject ID = 1000063066",,304256000,"2014, 2015, 2016, 2017, "
118,Combined Jewish Philanthropies,Yes,Office,126 High Street,2110,"76,315",71.5,85,,Office,1899,382.5,5,"5,456,676.20",52.50%,47.50%,,8.4,,,,304133000,"2014, 2015, 2016, 2017, "
119,BE Realty,Yes,Mixed Use Property,133 Federal St,2110,"127,689",133,43,,"Office, Restaurant",1960,"1,255.10",9.8,"16,987,934.10",39.30%,,60.70%,13.2,,,,304206000,"2014, 2015, 2016, 2017, "
120,155 Federal Street,Yes,Office,155 Federal St,2110,"179,910",Not Available,Not Available,,Office,1983, Not Available ,Not Available, Not Available ,,,,,,,,304210000,"2014, 2017, "
121,10 High St,Yes,Office,155 Federal St,2110,"116,823",Not Available,Not Available,,Office,1914, Not Available ,Not Available, Not Available ,,,,,,,,304211000,"2014, 2017, "
122,The Landmark,Yes,Office,160 Federal Street,2110,"366,650",46.4,87,"2016, 2015, 2013",Office,1929,"1,452.30",4,"16,996,979.20",100.00%,,,11.6,,,,304406000,"2016, 2017, "
123,175 Federal Street,Yes,Office,175 Federal Street`,2110,"227,365",63.2,87,"2016, 2015, 2014, 2012","Bank Branch, Office",1977,"1,227.10",5.4,"14,361,355.00",100.00%,,,,,,,304231000,"2014, 2015, 2016, 2017, "
124,176 Federal Street,Yes,Office,176 Federal Street,2110,"76,323",Not Available,Not Available,,"Office, Restaurant, Retail Store",1900, Not Available ,Not Available, Not Available ,,,,,,,,304379000,"2015, 2016, 2017, "
125,185 Devonshire Commercial Condo,Yes,Office,185 Devonshire Street,2110,"77,211",Not Available,Not Available,,Office,1920, Not Available ,Not Available, Not Available ,,,,,,,,304665000,"2014, 2015, 2016, 2017, "
126,50 Post Office Square (EPL),Yes,Office,185 Franklin Street,2110,"813,721",49.3,93,"2016, 2014, 2012","Office, Parking",1947,"3,213.80",3.9,"40,093,667.20",72.30%,,27.80%,396.8,,,,304176000,"2014, 2015, 2016, 2017, "
127,2 Atlantic,Yes,Office,2 Atlantic Avenue,2110,"68,035",88.8,65,,"Office, Parking",1998,453.3,6.7,"6,043,747.30",67.70%,32.30%,,20.8,,,,303030010,"2014, 2015, 2016, 2017, "
128,2 Oliver St.,Yes,Office,2 Oliver St.,2110,"233,763",42.3,93,,Office,1900,810.3,3.5,"9,879,111.10",96.00%,,,11.9,,,,304026000,"2014, 2015, 2016, 2017, "
129,20 Custom House,Yes,Office,20 Custom House,2110,"96,032",141.2,27,,Office,1984,"1,158.40",12.1,"13,557,520.80",100.00%,,,36.2,,,,303998000,"2014, 2015, 2016, 2017, "
130,20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,Yes,Office,20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,2110,"118,000",73.5,Not Available,,Office,1873,654.3,5.5,"8,677,563.40",47.30%,,52.70%,8.6,,"This property is a complex of 3 buildings with shared systems & we are reporting the 1 complex of 3 buildings.  The other Parcel ID#'s associated with this property are 0304617000 85 Franklin and 0304616000 Winthrop LA  (aka 77 Franklin) For BERDO reporting- aggregate electric data for the property was obtained from Eversource via the BERDO portal.  Due to the dates of the billing cycles for BWSC & Veolia, For 2013 usage period for water bills is 1/06/2013-1/05/2014 (124,640 cubic feet), Steam is 1/03/2013-1/3/2014 (3775 klbs thousand lbs).  For 2014, usage period for water bills is 1/5/14-1/5/15 (131,980 cubic feet), Steam is 1/3/14-12/31/14 (3,728 klbs thousand lbs). For 2015, usage period for water bills is 1/5/15-1/12/16 (124,310 cubic feet) & Steam is 12/31/14-12/31/15 (4,012 klbs thousand lbs)Default values were used for  # of computers, operating hours & # of workers since data was  from all tenants. ",,0304615000 0304617000  0304616000 ,"2014, 2015, 2016, 2017, "
131,"Two Hundred Mortgage Associates, L.P.",Yes,Office,200 High Street,2110,"96,393",95,Not Available,,Office,1900,731.4,7.6,"9,160,185.80",82.70%,17.30%,,21.5,,,,0304042000 0304043010 0304044000,"2015, 2016, 2017, "
132,211 Congress Street,Yes,Office,211 Congress Street,2110,"78,101",79.4,78,,Office,1922,423.7,5.4,"6,200,405.70",47.10%,52.90%,,20.6,,,,304398000,"2016, 2017, "
133,225 Franklin Street,Yes,Office,225 Franklin Street,2110,"1,082,082",99.2,76,"2016, 2015, 2014, 2012, 2011","Office, Parking",1966,"8,050.50",7.4,"107,305,657.20",45.30%,,54.70%,15,,"The building is currently seeking LEED EBOM Certification:Project Name = 225 Franklin StreetProject ID = 1000063072",,304134000,"2014, 2015, 2016, 2017, "
134,NW 230 Congress Street Property Owner LLC,Yes,Office,230 Congress Street ,2110,"151,706",49.8,99,,Office,1931,525.3,3.5,"7,561,191.90",16.20%,,83.80%,17.7,,,,304190000,"2017, "
135,24 Federal Street,Yes,Office,24 Federal Street,2110,"73,686",96.4,54,,Office,1921,505.4,6.9,"7,104,753.90",55.70%,44.30%,,4.8,,,,304672000,"2015, 2016, 2017, "
136,New England Aquarium,Yes,Aquarium,250 Atlantic Ave,2110,"108,023",76.8,Not Available,,Other - Entertainment/Public Assembly,1969,685.4,5,"10,451,235.60",,6.20%,93.80%,84.3,,"Main Building, Central WharfNew England AquariumPublic Aquarium",,302990000,"2014, 2015, 2016, 2017, "
137,Liberty Wharf-Boston Reporting,Yes,Office,250 Northern Ave,2110,"75,661",463.5,Not Available,,"Office, Parking, Restaurant",2010,"2,412.50",31.9,"35,066,537.10",48.50%,51.50%,,140.8,,,,602673121,"2015, 2016, 2017, "
138,260 Franklin Street,Yes,Office,260 Franklin Street,2110,"372,562",61.8,83,"2017, 2016, 2015, 2012, 2011, 2010, 2007","Office, Parking",1984,"1,968.70",5.3,"23,040,591.60",100.00%,,,14.4,,,,304023000,"2014, 2015, 2016, 2017, "
139,265 Franklin Street,Yes,Office,265 Franklin Street,2110,"364,493",58,84,"2016, 2015","Office, Parking",1984,"1,772.50",4.9,"21,144,833.40",91.50%,,8.50%,11.4,,,,304035000,"2014, 2015, 2016, 2017, "
140,27 School Street,Yes,Office,27 School Street,2110,"56,742",58,83,,Office,1903,264.8,4.7,"3,292,898.40",73.60%,,26.40%,32.7,,,,302864000,"2014, 2015, 2016, 2017, "
141,30 Federal Street,Yes,Office,30 Federal Street,2110,"50,000",47.4,90,,Office,1929,179.4,3.6,"2,370,196.80",69.80%,30.20%,,6.4,,,,304671000,"2014, 2015, 2016, 2017, "
142,Rowes Wharf,Yes,Office,30 Rowes Wharf,2110,"814,368",96.5,73,2013,"Hotel, Office, Parking, Retail Store, Swimming Pool",1987,"6,164.00",7.6,"78,596,485.50",78.30%,21.70%,,37.8,,,,302961198,"2014, 2017, "
143,Boston Children's Museum,Yes,Museum,300 Congress Street,2110,"177,074",74.8,Not Available,,"Museum, Office",1880,"1,016.10",5.9,"12,975,602.20",77.90%,22.10%,,15.5,,,,"602635000, 602635001","2014, 2016, 2017, "
144,315 on A,Yes,Multifamily Housing,315 A Street,2110,"207,496",57.1,86,,"Multifamily Housing, Parking",2013,772,3.7,"11,855,797.00",36.50%,62.90%,,25,"22,353",,,602761030,"2015, 2016, 2017, "
145,33 Arch Street,Yes,Office,33 Arch Street,2110,"648,403",66.3,84,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008","Office, Parking",2004,"3,675.80",5.7,"43,020,166.20",100.00%,,,10,,,,304643020,"2014, 2015, 2016, 2017, "
146,38-46 Summer Street,Yes,Office,40 Summer Street ,2110,"40,398",48.4,80,,Office,1873,160.5,4,"1,955,924.30",89.60%,10.40%,,12.2,,"2015 Water Bills period based on billing cycle from BWSC 12/14/2014- 1/19/2016. 2016 Water: 1/19/16-1/20/17  BERDO Aggregate Electric Data was obtained from Eversource.   Gas period for 2015 based on billing cycle from 12/04/2014-1/06/2016. Gas period for 2016: 1/06/16- 1/04/17  Default values were used for the number of computers, operating hours and # of workers on main shift.  ",,0304593000 0304594000 0304598000,"2016, 2017, "
147,Commercial Wharf East Condominium,Yes,Multifamily Housing,49 Commercial Wharf,2110,"121,932",3.5,Not Available,,"Multifamily Housing, Office",1830,31.5,0.3,"425,680.20",64.80%,35.20%,,24.4,,I do not have access to unit owner utility bills. All meters reported are Common area meters.,,303028406,"2015, 2016, 2017, "
148,50 Federal St.,Yes,Office,50-60 Federal Street,2110,"71,880",105.6,Not Available,,"Medical Office, Office",1910,617.4,8.6,"7,591,963.30",78.40%,,21.60%,11.8,,,,304670000,"2014, 2015, 2016, 2017, "
149,BOS Office 3 LLC,Yes,Office,63 Franklin Street,2110,"34,075",55.4,Not Available,,Office,1934,140.1,4.1,"1,889,453.70",65.10%,34.90%,,4.9,,,,304603000,"2017, "
150,65 E. India Row,Yes,Multifamily Housing,65 E. India Row,2110,"406,928",48.9,85,,Multifamily Housing,1900,"1,277.40",3.1,"19,901,787.30",34.20%,65.80%,,27.4,,,,302970000,"2016, 2017, "
151,Cap Long Wharf,Yes,Office,66 Long Wharf,2110,"70,000",Not Available,Not Available,,Office,1900, Not Available ,Not Available, Not Available ,,,,,,,,303005000,"2016, 2017, "
152,Harbor Garage,Yes,Parking,70 East India Row,2110,"364,500",11.5,Not Available,,Other,1969,321.4,0.9,"4,191,990.80",100.00%,,,6.3,,,,302995000,"2014, 2015, 2016, 2017, "
153,70 Federal,Yes,Office,70 Federal Street,2110,"64,101",74.4,69,,Office,1980,372.8,5.8,"4,766,406.80",62.00%,,38.00%,8.2,,,,304669000,"2017, "
154,70 Franklin Street,Yes,Office,70 Franklin Street,2110,"84,521",Not Available,Not Available,,Office,1879, -   ,0, Not Available ,,,,,,,,304646000,"2017, "
155,255-The Envoy Hotel,Yes,Hotel,70 Sleeper Street,2110,"83,701",49.6,Not Available,,Hotel,2016,292.5,3.5,"4,150,822.90",53.70%,46.30%,,19.9,,,,602640010,"2017, "
156,71-77 Summer,Yes,Office,71-77 Summer St.,2110,"62,622",57.9,71,2016,Office,1901,310,5,"3,628,317.40",100.00%,,,23.2,,This report covers parcels 0304561000 and 0304562000.,,0304561000 0304562000,"2014, 2015, 2016, 2017, "
157,Mission Park Apartments,Yes,Multifamily Housing,75 Federal Street 4th Floor,2110,"786,880",100,36,,Multifamily Housing,1990,"4,717.40",6,"78,694,484.80",21.10%,78.90%,,9.1,,,,1000290000,"2015, 2016, 2017, "
158,Trinity Terrace Apartments,Yes,Multifamily Housing,75 Federal Street 4th Floor,2110,"76,425",54.5,98,,Multifamily Housing,1990,239.1,3.1,"4,164,874.80",13.30%,86.70%,,5.2,,,,1401610000,"2015, 2017, "
159,Eversource Energy Sta 53,Yes,Energy/Power Station,75 High Street,2110,"60,195",Not Available,Not Available,,Energy/Power Station,2000, -   ,0, Not Available ,,,,0.1,,This property is an electric substation owned and operated by Eversource.  Electricity use is not metered and there is no natural gas use.,,304385000,"2016, 2017, "
160,75-101 Federal Street,Yes,Office,75-101 Federal Street,2110,"888,478",63.7,78,"2016, 2015, 2014, 2012, 2009","Bank Branch, Office, Parking",1929,"4,781.40",5.4,"56,555,856.10",95.90%,0.90%,3.20%,13.3,,"This property has two Boston parcel IDs.03041980000304199000",,304199,"2014, 2015, 2016, 2017, "
161,3 PO Square,Yes,Office,79 Milk Street,2110,"64,879",143.4,32,,Office,1905,613.9,9.5,"9,300,784.70",39.90%,60.10%,,11.6,,,,304673000,"2015, 2016, 2017, "
162,commercial Wharf,Yes,Other,79-85 Atlantic Ave.,2110,"6,400",Not Available,Not Available,,Other,1830, -   ,0, Not Available ,,,,,,,,303549000,"2017, "
163,FOLIOBOSTON CONDOMINIUM TRUST,Yes,Multifamily Housing,80 Broad Street,2110,"323,789",30.1,97,,Multifamily Housing,2006,669.1,2.1,"9,760,515.50",47.80%,52.20%,,11.8,,,,303990010,"2015, 2016, 2017, "
164,85 E. India Row,Yes,Multifamily Housing,85 E. India Row,2110,"406,928",51.2,72,,Multifamily Housing,1900,"1,381.90",3.4,"20,838,979.00",40.80%,59.20%,,19.5,,,,302975000,"2016, 2017, "
165,87 Summer Street,Voluntary,Office,87 Summer Street,2110,"28,119",81.3,88,2016,Office,1877,141.3,5,"2,287,136.00",26.90%,73.10%,,16.2,,,,304574000,"2016, 2017, "
166,Bay State Realty,Yes,Financial Office,88 Broad Street,2110,"63,680",Not Available,Not Available,,Financial Office,1924, Not Available ,Not Available, Not Available ,,,,,,,,03983-000,"2014, 2015, 2016, 2017, "
167,Hilton Boston Downtown/Faneuil Hall,Yes,Hotel,89 Broad St,2110,"338,757",118.1,Not Available,,"Hotel, Office, Restaurant, Retail Store",1998,"2,831.50",8.4,"40,011,545.10",34.40%,16.50%,49.10%,39.5,,,,304029000,"2016, 2017, "
168,Broadluxe Condo Trust,Yes,Multifamily Housing,99 105 Broad St,2110,"45,111",86.4,4,,Multifamily Housing,2005,271.1,6,"3,896,846.00",50.90%,49.10%,,29.8,,,,304033010,"2017, "
169,99 High Street,Yes,Office,99 High Street,2110,"731,205",76.4,90,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Bank Branch, Office, Other - Restaurant/Bar, Parking",1969,"3,977.60",5.4,"55,832,996.30",56.10%,43.90%,,11.1,,,,304390000,"2014, 2015, 2016, 2017, "
170,99 Summer Street,Yes,Office,99 Summer Street,2110,"291,332",46.4,94,"2016, 2011, 2010","Office, Parking",1987,"1,094.90",3.8,"13,508,378.10",86.40%,13.60%,,13,,,,304576000,"2016, 2017, "
171,One Federal St,Yes,Office,One Federal Street,2110,"1,119,373",105.9,Not Available,2015,"Data Center, Office, Other, Parking, Restaurant",1975,"9,189.80",8.2,"118,589,709.80",58.30%,,41.70%,14.7,,,,1191515,"2014, 2015, 2017, "
172,One International Place,Yes,Office,One International Place,2110,"1,171,211",70.1,79,"2016, 2015, 2014","Data Center, Office, Other - Mall, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",1986,"7,014.40",6,"82,094,304.60",100.00%,,,13.1,,,,304075000,"2014, 2015, 2016, 2017, "
173,Two International Place,Yes,Office,Two International Place,2110,"851,195",76.1,79,"2016, 2015, 2014","Bank Branch, Data Center, Fitness Center/Health Club/Gym, Office, Other - Mall, Parking, Repair Services (Vehicle, Shoe, Locksmith, etc.), Restaurant",1992,"5,537.70",6.5,"64,811,020.90",100.00%,,,11.9,,,,0304071000 0304060010,"2014, 2015, 2016, 2017, "
174,Dental Health Building,Yes,College/University,1 Kneeland Street,2111,"330,486",266,Not Available,,"College/University, Hospital (General Medical & Surgical)",1973,"6,253.40",18.9,"87,916,962.70",24.80%,,75.20%,20.9,,"Water, electricity and steam come from Tufts Shared Services (TSS).  TSS provides water, electricity and steam to both Tufts Medical Center and Tufts University's Dental School and Sackler Center.  Utilities are submetered with some allocations.330486  Total building GSF after vertical expansion   -11174    part of 5th floor used by TMC-10432    part of 6th floor used by TMC308880",,305380000,"2014, 2015, 2016, 2017, "
175,The Metropolitan: 1 Nassau Street,Yes,Multifamily Housing,1 Nassau St,2111,"350,000",66.9,13,,Multifamily Housing,2001,"1,675.70",4.8,"23,415,294.30",57.10%,42.90%,,45.1,,"2 gas fired absorption chillers for heating, dhw, ac to individual 2 pipe Whalen units; electricity is separately metered for floor 2 - paid FOR those residents.Gross sq ft estimated with bldg footprint of 160ftx70ft, 23 stories.251 units in total, 81 affordable",,305424030,"2016, 2017, "
176,Mei Wah Village,Yes,Multifamily Housing,10 Maple Place,2111,"12,534",124.4,77,,Multifamily Housing,1997,94.1,7.5,"1,559,818.90",22.20%,77.80%,,119.5,,,,305478010,"2017, "
177,The Stearns: 10 Temple Place,Yes,Multifamily Housing,10 Temple Pl,2111,"135,344",61.8,68,,Multifamily Housing,1909,542,4,"8,366,654.20",36.10%,63.90%,,53.5,,,,304794000,"2016, 2017, "
178,Road Scholar,Yes,Office,11 Avenue de Lafayette,2111,"60,000",47.9,88,,Office,1892,245.5,4.1,"2,876,196.50",99.70%,0.30%,,29.1,,,,304511000,"2015, 2016, 2017, "
179,Chauncy House,Yes,Multifamily Housing,115 Chauncy Street,2111,"58,874",140.3,2,,Multifamily Housing,1922,518.8,8.8,"8,257,921.00",30.10%,69.90%,,58.7,,,,304506000,"2017, "
180,High Pressure Station,Municipal ,Fire Station,117 Kneeland St,2111,"2,500",43,Not Available,,Fire Station,2000,9.2,3.7,"107,487.40",100.00%,,,,,,,305361005,"2016, 2017, "
181,Radian,Yes,Multifamily Housing,120 Kingston,2111,"291,816",37.8,82,,Multifamily Housing,2014,844.3,2.9,"11,021,305.30",72.70%,27.30%,,19.3,,,,304308000,"2016, 2017, "
182,Bird Farm South LLC,Yes,Office,129 South Street,2111,"43,031",Not Available,Not Available,,"Office, Other - Restaurant/Bar",1895, Not Available ,Not Available, Not Available ,,,,,,,,304323000,"2016, 2017, "
183,Millennium Place Primary- North Tower,Yes,Multifamily Housing,1-3 Avery Street,2111,"362,409",58.1,60,,"Multifamily Housing, Restaurant",2001,"1,420.30",3.9,"21,046,753.30",44.40%,55.60%,,80,,,,0304832020 0304832420 0304832400,"2015, 2016, 2017, "
184,Tremont Commons Corporation,Yes,Other,131 Tremont Street,2111,"46,729",95.4,Not Available,,"Multifamily Housing, Office, Other, Restaurant",1924,337.7,7.2,"4,456,585.60",70.10%,29.90%,,55,,Parcel ID: 0304797000,,304797000,"2016, 2017, "
185,Biomedical Research and Public Health Building,Yes,Laboratory,136 Harrison Avenue,2111,"290,327",300.1,Not Available,,"College/University, Laboratory",1940,"6,487.10",22.3,"87,123,919.30",42.30%,0.00%,57.60%,36.4,,"                                                                                               GSF    Parcel# BRPH - M&V Wing	                  136 Harrison Avenue    129947  305251000BRPH - Stearns Wing	                  120 Harrison Avenue	    58793   305252000BRPH - Arnold Wing	                  116 Harrison Avenue	    56300   305253000BRPH - South Cove Wing	 55 Kneeland Street	    45287   305254000 ",,"305251000,305254000,305253000,  305252000","2014, 2015, 2016, 2017, "
186,141 tremont street,Yes,Office,141 tremont street,2111,"64,884",75.6,48,,Office,1969,419.3,6.5,"4,907,848.90",100.00%,0.00%,,13.2,,,,304800000,"2014, 2015, 2016, 2017, "
187,Cliff Moskow,Yes,Office,144 Tremont Street,2111,"42,007",Not Available,Not Available,,Office,1924, Not Available ,Not Available, Not Available ,,,,,,,,304824000,"2017, "
188,Beach Street Garage,Yes,Parking,14-40 Beach Street,2111,"4,338",256.4,Not Available,,"Parking, Retail Store",1925,95,21.9,"1,112,144.80",100.00%,,,119.3,,,,304960000,"2016, 2017, "
189,Sackler Center,Yes,College/University,145 Harrison Avenue,2111,"133,787",139.2,Not Available,,College/University,1986,"1,403.60",10.5,"18,620,141.10",47.20%,,52.80%,11.3,,"Water, electricity and steam come from Tufts Shared Services (TSS).  TSS provides water, electricity and steam to both Tufts Medical Center and Tufts University's Dental School and Sackler Center.  Utilities are submetered with some allocations.",,305371000,"2014, 2015, 2016, 2017, "
